1. Código del centro de trabajo.,|,2. Nombre o descripción del centro de trabajo.,|,3. Dirección del centro de trabajo.,|,"4. Zona donde se ubica el centro de trabajo, si aplicara.",|,"5. Teléfonos, separados por guiones o diagonales",|,6. Fax.,|,7. Nombre del contacto en ese centro de trabajo.,|,8. Correo electrónico.,|,9. Departamento de la República donde se ubica.,|,10. Municipio de la República.,|,11. Código de actividad económica.,|,ARCHIVO DE TEXTO
1,|,SEDE CENTRAL,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,1|SEDE CENTRAL|GUATEMALA||23790700||||1|1|930900|
2,|,HUMAN EFFICENCY S.A,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,2|HUMAN EFFICENCY S.A|GUATEMALA||23790700||||1|1|930900|
3,|,ALMACENES Y SERVICIOS S.A,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,3|ALMACENES Y SERVICIOS S.A|GUATEMALA||23790700||||1|1|930900|
4,|,FONTANA DE TREVI (ZACAPA),|,ZACAPA,|,,|,23790700,|,,|,,|,,|,19,|,1,|,930900,|,4|FONTANA DE TREVI (ZACAPA)|ZACAPA||23790700||||19|1|930900|
5,|,ALMAGUATE,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,5|ALMAGUATE|GUATEMALA||23790700||||1|1|930900|
6,|,DISTRIBUIDORA JALAPENA S.A (ZONA 2),|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,6|DISTRIBUIDORA JALAPENA S.A (ZONA 2)|GUATEMALA||23790700||||1|1|930900|
7,|,"DISTRIBUIDORA JALAPENA S,.A (EL NARANJO)",|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,8,|,930900,|,"7|DISTRIBUIDORA JALAPENA S,.A (EL NARANJO)|GUATEMALA||23790700||||1|8|930900|"
8,|,DISTRIBUIDORA LA CEIBA S.A (CHIQUIMULA),|,CHIQUIMULA,|,,|,23790700,|,,|,,|,,|,20,|,1,|,930900,|,8|DISTRIBUIDORA LA CEIBA S.A (CHIQUIMULA)|CHIQUIMULA||23790700||||20|1|930900|
9,|,DISTRIBUIDORA COBANERA S.A (COBAN),|,COBAN,|,,|,23790700,|,,|,,|,,|,16,|,1,|,930900,|,9|DISTRIBUIDORA COBANERA S.A (COBAN)|COBAN||23790700||||16|1|930900|
10,|,DISTRIBUIDORA ULTRA RAPIDA (PUERTO BARRIOS),|,PUERTO BARRIOS,|,,|,23790700,|,,|,,|,,|,18,|,1,|,930900,|,10|DISTRIBUIDORA ULTRA RAPIDA (PUERTO BARRIOS)|PUERTO BARRIOS||23790700||||18|1|930900|
